location_id,region,latitude,longitude,building_type,tiv,deductible,policy_limit
LOC-00023,Houston (Flood/Wind),30.48823,-95.98887,Wood,256426.5,25642.65,205141.2
LOC-00024,Miami (Hurricane),25.93525,-80.98423,Concrete,152314.43,15231.44,152314.43
LOC-00025,Houston (Flood/Wind),30.64791,-94.76432,Wood,411684.62,8233.69,411684.62
LOC-00026,Miami (Hurricane),23.78594,-80.4772,Wood,467952.37,23397.62,374361.9
LOC-00027,Miami (Hurricane),25.50211,-80.35649,Steel,347973.91,6959.48,278379.13
LOC-00028,Houston (Flood/Wind),30.54222,-94.55365,Steel,430071.73,21503.59,344057.39
LOC-00029,Houston (Flood/Wind),30.6144,-93.58121,Wood,100169.42,5008.47,100169.42
LOC-00030,Miami (Hurricane),24.88655,-79.6042,Concrete,103311.37,2066.23,103311.37
LOC-00031,Houston (Flood/Wind),28.80051,-94.26487,Wood,2606047.22,130302.36,3127256.67
LOC-00032,Houston (Flood/Wind),29.90737,-95.09311,Wood,613651.99,30682.6,490921.59
LOC-00033,Houston (Flood/Wind),28.35399,-95.40433,Wood,91959.86,4597.99,110351.84
LOC-00034,Los Angeles (Quake),34.63117,-118.51186,Concrete,547983.52,10959.67,438386.82
LOC-00035,Los Angeles (Quake),33.50925,-117.31124,Wood,171696.74,8584.84,137357.39
LOC-00036,Los Angeles (Quake),35.07988,-118.03588,Wood,394477.5,19723.87,394477.5
LOC-00037,Houston (Flood/Wind),30.81782,-95.31844,Wood,792582.0,79258.2,951098.39
LOC-00038,Los Angeles (Quake),35.31676,-117.62566,Steel,448554.72,8971.09,448554.72
LOC-00039,Los Angeles (Quake),33.38507,-118.39698,Steel,287319.83,28731.98,287319.83
LOC-00040,Miami (Hurricane),25.43417,-80.07193,Wood,308941.55,15447.08,308941.55
LOC-00041,Miami (Hurricane),27.01,-80.08896,Concrete,129266.75,2585.33,129266.75
LOC-00042,Los Angeles (Quake),34.31195,-115.67097,Wood,505811.33,10116.23,505811.33
LOC-00043,Los Angeles (Quake),35.30982,-118.99798,Wood,121476.88,2429.54,121476.88
LOC-00044,Miami (Hurricane),25.66991,-80.30037,Wood,121357.37,2427.15,121357.37
LOC-00045,Los Angeles (Quake),33.48227,-119.0277,Wood,690645.32,13812.91,552516.26
LOC-00046,Miami (Hurricane),26.77483,-79.88996,Wood,1399115.75,139911.57,1399115.75
LOC-00047,Los Angeles (Quake),35.57249,-119.0929,Concrete,211632.81,10581.64,211632.81
LOC-00048,Miami (Hurricane),27.2593,-81.22775,Wood,241562.01,24156.2,241562.01
LOC-00049,Los Angeles (Quake),34.05438,-117.33658,Wood,709725.01,70972.5,709725.01
LOC-00050,Miami (Hurricane),26.99728,-79.91655,Wood,677545.88,33877.29,677545.88
LOC-00051,Miami (Hurricane),27.46813,-81.75347,Masonry,416368.99,20818.45,416368.99
LOC-00052,Miami (Hurricane),25.6749,-80.58095,Wood,330247.7,16512.39,330247.7
LOC-00053,Los Angeles (Quake),32.56632,-119.23328,Wood,94564.61,9456.46,113477.53
LOC-00054,Miami (Hurricane),26.82288,-80.69556,Concrete,644838.16,12896.76,644838.16
LOC-00055,Miami (Hurricane),25.2695,-79.88556,Wood,761980.04,15239.6,761980.04
LOC-00056,Miami (Hurricane),25.94488,-79.2763,Concrete,632771.5,31638.58,506217.2
LOC-00057,Miami (Hurricane),26.80608,-80.175,Wood,211245.28,4224.91,168996.22
LOC-00058,Houston (Flood/Wind),30.61437,-95.64084,Masonry,145350.79,14535.08,145350.79
LOC-00059,Houston (Flood/Wind),30.88394,-93.22659,Concrete,1645683.86,164568.39,1645683.86
LOC-00060,Miami (Hurricane),26.08537,-79.70073,Concrete,1043280.66,104328.07,1251936.79
LOC-00061,Los Angeles (Quake),35.11564,-118.52414,Concrete,55179.46,1103.59,44143.57
LOC-00062,Los Angeles (Quake),34.14701,-119.10583,Wood,216761.48,10838.07,216761.48
LOC-00063,Los Angeles (Quake),33.68941,-118.24918,Wood,370540.7,7410.81,370540.7
LOC-00064,Miami (Hurricane),25.09992,-80.6236,Wood,64863.37,1297.27,51890.7
LOC-00065,Los Angeles (Quake),35.68278,-118.58732,Masonry,50000.0,2500.0,60000.0
LOC-00066,Houston (Flood/Wind),30.35949,-95.53787,Wood,356887.3,7137.75,356887.3
LOC-00067,Houston (Flood/Wind),31.21154,-94.41053,Wood,891277.89,89127.79,713022.32
LOC-00068,Houston (Flood/Wind),31.57649,-95.48073,Wood,712338.95,35616.95,712338.95
LOC-00069,Los Angeles (Quake),32.42926,-118.9138,Wood,71281.33,7128.13,57025.06
LOC-00070,Miami (Hurricane),25.14474,-79.43146,Wood,150707.53,3014.15,180849.03
LOC-00071,Los Angeles (Quake),36.07382,-120.32008,Masonry,78297.37,1565.95,62637.89
LOC-00072,Los Angeles (Quake),34.2797,-120.29946,Masonry,1039107.13,103910.71,831285.7
LOC-00073,Miami (Hurricane),25.93665,-80.5793,Wood,369363.89,36936.39,443236.66
LOC-00074,Miami (Hurricane),25.91632,-80.44222,Concrete,54223.87,5422.39,65068.65
LOC-00075,Miami (Hurricane),26.02824,-80.39812,Wood,267898.65,13394.93,267898.65
LOC-00076,Houston (Flood/Wind),29.33437,-94.43273,Masonry,151853.86,7592.69,151853.86
LOC-00077,Miami (Hurricane),25.31109,-78.16039,Wood,485892.25,48589.23,485892.25
LOC-00078,Houston (Flood/Wind),30.97322,-94.31138,Wood,50000.0,5000.0,50000.0
LOC-00079,Houston (Flood/Wind),30.12057,-93.6512,Wood,206232.26,10311.61,206232.26
LOC-00080,Miami (Hurricane),26.18955,-80.20357,Wood,595052.81,11901.06,595052.81
LOC-00081,Los Angeles (Quake),31.57127,-118.35064,Wood,237301.96,4746.04,237301.96
LOC-00082,Los Angeles (Quake),33.96184,-119.33336,Wood,470256.26,9405.13,470256.26
LOC-00083,Houston (Flood/Wind),30.22818,-95.35474,Wood,496881.4,24844.07,496881.4
LOC-00084,Los Angeles (Quake),33.41773,-118.37214,Concrete,95297.39,4764.87,76237.91
LOC-00085,Los Angeles (Quake),32.59001,-119.63609,Concrete,1913133.38,95656.67,1913133.38
LOC-00086,Houston (Flood/Wind),29.56318,-95.19167,Wood,278072.03,13903.6,278072.03
LOC-00087,Houston (Flood/Wind),31.54113,-95.11732,Concrete,638482.19,63848.22,638482.19
LOC-00088,Miami (Hurricane),26.13853,-80.47837,Wood,661234.25,13224.68,793481.09
LOC-00089,Los Angeles (Quake),35.47972,-117.9757,Concrete,56358.82,1127.18,56358.82
LOC-00090,Miami (Hurricane),25.92705,-79.34754,Wood,515882.48,51588.25,515882.48
LOC-00091,Houston (Flood/Wind),30.16196,-93.72285,Wood,50000.0,1000.0,50000.0
LOC-00092,Los Angeles (Quake),35.33315,-119.94194,Wood,486699.0,24334.95,584038.8
LOC-00093,Miami (Hurricane),25.47256,-80.38259,Concrete,139994.36,13999.44,111995.49
LOC-00094,Houston (Flood/Wind),29.27327,-95.19583,Masonry,665219.24,66521.92,532175.39
LOC-00095,Los Angeles (Quake),34.6533,-119.41677,Masonry,2070541.01,207054.1,2484649.21
LOC-00096,Miami (Hurricane),27.05739,-80.64345,Wood,98513.93,1970.28,98513.93
LOC-00097,Miami (Hurricane),27.23928,-79.97904,Wood,271835.27,27183.53,271835.27
LOC-00098,Miami (Hurricane),25.06114,-80.71327,Wood,281362.36,14068.12,337634.84
LOC-00099,Houston (Flood/Wind),28.36018,-95.14014,Wood,2928140.89,292814.09,2342512.71
LOC-00100,Miami (Hurricane),25.27817,-79.89488,Masonry,146680.91,14668.09,146680.91
LOC-00101,Miami (Hurricane),26.15214,-78.92769,Wood,376097.11,18804.86,376097.11
LOC-00102,Los Angeles (Quake),33.55795,-118.77462,Concrete,424518.21,21225.91,424518.21
LOC-00103,Los Angeles (Quake),35.09755,-118.63493,Wood,208955.67,10447.78,208955.67
LOC-00104,Miami (Hurricane),26.80254,-79.35053,Wood,115434.09,2308.68,92347.28
LOC-00105,Miami (Hurricane),26.31117,-82.06347,Concrete,341811.65,17090.58,341811.65
LOC-00106,Houston (Flood/Wind),28.22992,-94.45363,Concrete,798398.33,79839.83,958078.0
LOC-00107,Miami (Hurricane),26.53444,-80.12616,Wood,169505.24,3390.1,169505.24
LOC-00108,Houston (Flood/Wind),28.91056,-95.72192,Wood,175374.46,3507.49,175374.46
LOC-00109,Los Angeles (Quake),35.29725,-118.85572,Concrete,971867.7,19437.35,1166241.24
LOC-00110,Houston (Flood/Wind),29.31576,-93.95555,Concrete,167110.61,16711.06,167110.61
LOC-00111,Los Angeles (Quake),33.12365,-119.73729,Concrete,318250.54,31825.05,318250.54
LOC-00112,Los Angeles (Quake),35.05488,-117.3294,Concrete,331922.16,16596.11,265537.73
LOC-00113,Miami (Hurricane),25.84922,-79.61119,Wood,333320.92,16666.05,266656.74
LOC-00114,Houston (Flood/Wind),30.20252,-96.71125,Wood,1770598.37,35411.97,1770598.37
LOC-00115,Houston (Flood/Wind),29.43113,-95.84008,Concrete,407925.33,8158.51,407925.33
LOC-00116,Houston (Flood/Wind),29.37111,-95.95789,Wood,234825.78,4696.52,281790.93
LOC-00117,Los Angeles (Quake),32.83767,-120.22953,Wood,213228.67,10661.43,213228.67
LOC-00118,Los Angeles (Quake),34.80597,-118.05008,Concrete,582726.12,58272.61,582726.12
LOC-00119,Los Angeles (Quake),34.04422,-119.82667,Wood,213003.84,21300.38,213003.84
LOC-00120,Los Angeles (Quake),34.88765,-119.05066,Wood,139370.37,2787.41,139370.37
LOC-00121,Miami (Hurricane),25.54659,-81.07702,Concrete,268524.95,5370.5,322229.94
LOC-00122,Los Angeles (Quake),34.24211,-119.18275,Steel,526644.21,26332.21,631973.05
LOC-00123,Miami (Hurricane),25.7355,-80.62654,Wood,1075807.68,21516.15,1075807.68
LOC-00124,Los Angeles (Quake),30.86098,-119.65673,Concrete,328963.41,6579.27,328963.41
LOC-00125,Los Angeles (Quake),35.05207,-119.83555,Wood,683976.19,13679.52,547180.96
LOC-00126,Houston (Flood/Wind),31.03196,-96.14032,Wood,143770.09,7188.5,115016.07
LOC-00127,Houston (Flood/Wind),30.72319,-95.19724,Wood,635371.46,31768.57,635371.46
LOC-00128,Miami (Hurricane),26.26042,-80.41245,Wood,93196.81,4659.84,93196.81
LOC-00129,Houston (Flood/Wind),30.44924,-94.90302,Concrete,373367.72,18668.39,373367.72
LOC-00130,Miami (Hurricane),26.45771,-80.60998,Wood,766054.98,38302.75,766054.98
LOC-00131,Houston (Flood/Wind),30.94561,-96.03984,Wood,185911.64,9295.58,185911.64
LOC-00132,Miami (Hurricane),26.13962,-80.22191,Steel,808795.9,16175.92,808795.9
LOC-00133,Houston (Flood/Wind),31.46183,-95.2821,Wood,68985.55,3449.28,68985.55
LOC-00134,Los Angeles (Quake),33.48887,-118.22158,Concrete,379868.99,37986.9,455842.79
LOC-00135,Houston (Flood/Wind),29.88105,-94.05771,Wood,125537.6,2510.75,100430.08
LOC-00136,Los Angeles (Quake),34.04818,-118.80668,Concrete,454492.83,9089.86,454492.83
LOC-00137,Miami (Hurricane),26.4908,-80.92504,Wood,243077.87,12153.89,291693.44
LOC-00138,Miami (Hurricane),27.60007,-81.6645,Wood,74639.34,3731.97,74639.34
LOC-00139,Los Angeles (Quake),33.63458,-118.00543,Wood,145580.17,14558.02,145580.17
LOC-00140,Miami (Hurricane),24.63637,-79.59337,Masonry,1203773.34,120377.33,1444528.01
LOC-00141,Miami (Hurricane),25.99991,-81.56743,Concrete,339761.7,33976.17,407714.04
LOC-00142,Houston (Flood/Wind),29.99308,-94.22053,Concrete,132829.76,2656.6,106263.81
LOC-00143,Miami (Hurricane),27.34172,-80.22961,Wood,544570.09,10891.4,544570.09
LOC-00144,Houston (Flood/Wind),29.19793,-94.74799,Wood,55813.74,5581.37,55813.74
LOC-00145,Miami (Hurricane),24.70622,-80.3728,Wood,392463.12,7849.26,313970.5
LOC-00146,Houston (Flood/Wind),30.37099,-94.5321,Masonry,1053875.95,52693.8,843100.76
LOC-00147,Houston (Flood/Wind),29.47708,-95.24775,Wood,297591.72,5951.83,297591.72
LOC-00148,Miami (Hurricane),25.33417,-81.75379,Concrete,202906.58,20290.66,162325.26
LOC-00149,Houston (Flood/Wind),29.72084,-94.6883,Steel,168476.21,8423.81,134780.97
LOC-00150,Los Angeles (Quake),35.11602,-119.92989,Concrete,442870.79,22143.54,442870.79
LOC-00151,Miami (Hurricane),23.73823,-79.15326,Wood,1018518.44,20370.37,814814.75
LOC-00152,Miami (Hurricane),26.01595,-79.49759,Wood,356123.27,17806.16,356123.27
LOC-00153,Houston (Flood/Wind),30.01656,-95.38968,Concrete,173222.87,17322.29,173222.87
LOC-00154,Houston (Flood/Wind),28.57406,-92.7721,Wood,140032.39,2800.65,140032.39
LOC-00155,Los Angeles (Quake),32.03402,-120.35402,Wood,176277.23,8813.86,176277.23
LOC-00156,Los Angeles (Quake),33.71406,-120.56411,Wood,80226.1,8022.61,80226.1
LOC-00157,Miami (Hurricane),26.54916,-80.36299,Masonry,2702594.39,54051.89,2702594.39
LOC-00158,Houston (Flood/Wind),29.0965,-94.23163,Concrete,192608.2,19260.82,231129.85
LOC-00159,Los Angeles (Quake),33.28691,-118.8809,Concrete,467603.88,23380.19,561124.66
LOC-00160,Miami (Hurricane),25.2634,-81.19114,Wood,475195.08,23759.75,380156.07
LOC-00161,Miami (Hurricane),25.84864,-81.55881,Wood,2509702.27,50194.05,2007761.82
LOC-00162,Miami (Hurricane),25.22895,-81.98833,Wood,111483.16,2229.66,89186.53
LOC-00163,Houston (Flood/Wind),30.3039,-94.28619,Wood,224819.42,22481.94,224819.42
LOC-00164,Miami (Hurricane),25.12306,-80.15533,Masonry,142772.52,2855.45,142772.52
LOC-00165,Miami (Hurricane),25.79632,-79.36742,Masonry,1732373.92,173237.39,2078848.7
LOC-00166,Miami (Hurricane),26.41809,-80.06591,Steel,1515597.91,30311.96,1515597.91
LOC-00167,Houston (Flood/Wind),29.29589,-96.32013,Concrete,106056.85,2121.14,106056.85
LOC-00168,Miami (Hurricane),26.2372,-80.32549,Wood,310740.58,15537.03,310740.58
LOC-00169,Los Angeles (Quake),34.08669,-116.70956,Concrete,607892.11,12157.84,486313.69
LOC-00170,Miami (Hurricane),24.57019,-80.41829,Concrete,111076.3,2221.53,111076.3
LOC-00171,Los Angeles (Quake),35.47586,-118.52732,Wood,468447.19,23422.36,468447.19
LOC-00172,Los Angeles (Quake),33.20753,-117.34142,Wood,712759.32,35637.97,712759.32
LOC-00173,Houston (Flood/Wind),29.17385,-93.459,Wood,50000.0,1000.0,50000.0
LOC-00174,Miami (Hurricane),26.86802,-80.29663,Wood,50000.0,2500.0,50000.0
LOC-00175,Los Angeles (Quake),32.31458,-120.88227,Concrete,513310.57,25665.53,513310.57
LOC-00176,Los Angeles (Quake),35.23697,-117.72669,Steel,342253.74,17112.69,342253.74
LOC-00177,Miami (Hurricane),24.28428,-80.64514,Wood,688428.34,68842.83,550742.67
LOC-00178,Miami (Hurricane),26.44978,-79.78986,Wood,1499781.96,149978.2,1499781.96
LOC-00179,Los Angeles (Quake),33.86181,-119.66767,Wood,448576.8,22428.84,448576.8
LOC-00180,Los Angeles (Quake),33.74403,-116.27796,Concrete,1203854.25,24077.08,963083.4
LOC-00181,Houston (Flood/Wind),28.43395,-94.21522,Wood,360937.08,7218.74,433124.5
LOC-00182,Los Angeles (Quake),34.00317,-119.36813,Masonry,1354309.14,67715.46,1354309.14
LOC-00183,Miami (Hurricane),25.9681,-79.81651,Wood,194199.99,9710.0,194199.99
LOC-00184,Miami (Hurricane),25.79978,-80.36857,Wood,275649.62,13782.48,220519.69
LOC-00185,Miami (Hurricane),25.38481,-79.3317,Wood,672866.93,33643.35,672866.93
LOC-00186,Miami (Hurricane),26.20372,-80.02335,Wood,647125.97,64712.6,517700.77
LOC-00187,Los Angeles (Quake),35.57044,-117.57247,Wood,2226086.62,111304.33,2226086.62
LOC-00188,Los Angeles (Quake),33.80589,-115.75339,Wood,134700.92,6735.05,134700.92
LOC-00189,Los Angeles (Quake),32.81431,-118.87886,Wood,261880.98,13094.05,261880.98
LOC-00190,Houston (Flood/Wind),31.90267,-95.3318,Concrete,302558.92,30255.89,363070.71
LOC-00191,Miami (Hurricane),24.68595,-80.48794,Wood,831721.39,16634.43,831721.39
LOC-00192,Los Angeles (Quake),33.7225,-117.97436,Wood,764592.51,15291.85,764592.51
LOC-00193,Los Angeles (Quake),35.63253,-117.71654,Wood,74815.44,3740.77,89778.53
LOC-00194,Houston (Flood/Wind),28.21162,-94.6205,Wood,130968.49,6548.42,130968.49
LOC-00195,Los Angeles (Quake),34.02154,-116.83643,Concrete,229410.81,22941.08,183528.65
LOC-00196,Los Angeles (Quake),35.32708,-117.92184,Wood,131450.21,6572.51,131450.21
LOC-00197,Miami (Hurricane),25.77521,-80.26681,Wood,65756.6,6575.66,65756.6
LOC-00198,Los Angeles (Quake),33.38905,-120.75789,Wood,345993.02,6919.86,415191.63
LOC-00199,Houston (Flood/Wind),28.4639,-96.8824,Wood,444104.73,8882.09,355283.79
LOC-00200,Houston (Flood/Wind),27.60652,-95.67311,Concrete,392278.05,19613.9,392278.05
LOC-00201,Miami (Hurricane),26.3438,-80.15024,Concrete,235410.02,4708.2,235410.02
LOC-00202,Miami (Hurricane),24.93374,-80.03905,Wood,109692.55,2193.85,109692.55
LOC-00203,Houston (Flood/Wind),30.67673,-95.02331,Wood,50000.0,2500.0,50000.0
LOC-00204,Houston (Flood/Wind),32.69815,-96.30827,Wood,511073.23,25553.66,613287.87
LOC-00205,Miami (Hurricane),25.18507,-79.80469,Concrete,242112.03,12105.6,193689.62
LOC-00206,Los Angeles (Quake),34.02005,-118.00238,Concrete,767316.31,15346.33,767316.31
LOC-00207,Miami (Hurricane),26.25612,-80.07897,Wood,621061.18,31053.06,621061.18
LOC-00208,Los Angeles (Quake),36.23065,-118.32067,Steel,372786.97,7455.74,447344.36
LOC-00209,Miami (Hurricane),25.27823,-80.45316,Wood,660977.2,13219.54,528781.76
LOC-00210,Houston (Flood/Wind),29.62154,-94.08004,Concrete,206612.45,10330.62,165289.96
LOC-00211,Miami (Hurricane),24.88468,-81.34384,Wood,110728.5,2214.57,88582.8
LOC-00212,Miami (Hurricane),27.00375,-81.91278,Concrete,1572690.35,157269.03,1572690.35
LOC-00213,Los Angeles (Quake),35.57521,-117.40642,Wood,500016.75,25000.84,500016.75
LOC-00214,Miami (Hurricane),25.80842,-80.12011,Concrete,82339.48,8233.95,82339.48
LOC-00215,Houston (Flood/Wind),30.35515,-94.51638,Masonry,208420.78,20842.08,208420.78
LOC-00216,Houston (Flood/Wind),30.15248,-95.46669,Concrete,65544.77,3277.24,78653.72
LOC-00217,Miami (Hurricane),24.97083,-81.07467,Wood,50000.0,2500.0,50000.0
LOC-00218,Los Angeles (Quake),34.52841,-118.96769,Concrete,54895.59,5489.56,54895.59
LOC-00219,Los Angeles (Quake),33.40381,-117.62745,Wood,152238.68,7611.93,121790.94
LOC-00220,Miami (Hurricane),26.18436,-79.81423,Wood,308419.27,15420.96,370103.13
LOC-00221,Los Angeles (Quake),35.64252,-117.73728,Wood,168898.11,8444.91,135118.49
LOC-00222,Los Angeles (Quake),32.7545,-119.27243,Wood,93125.23,9312.52,93125.23
LOC-00223,Miami (Hurricane),25.95328,-80.81741,Wood,81830.19,8183.02,81830.19
LOC-00224,Los Angeles (Quake),34.42398,-115.28204,Concrete,50000.0,1000.0,50000.0
LOC-00225,Houston (Flood/Wind),28.22345,-95.10205,Wood,245663.49,12283.17,245663.49
LOC-00226,Houston (Flood/Wind),32.34011,-96.17347,Wood,1382102.99,138210.3,1105682.39
LOC-00227,Miami (Hurricane),26.07367,-79.22855,Wood,317783.0,6355.66,254226.4
LOC-00228,Houston (Flood/Wind),30.01197,-97.05705,Wood,76640.06,7664.01,76640.06
LOC-00229,Miami (Hurricane),25.15447,-80.16503,Wood,339010.35,16950.52,339010.35
LOC-00230,Houston (Flood/Wind),28.2045,-97.36354,Wood,390060.28,19503.01,390060.28
LOC-00231,Houston (Flood/Wind),28.26081,-96.69944,Masonry,50000.0,2500.0,50000.0
LOC-00232,Los Angeles (Quake),33.29749,-119.43253,Wood,503537.56,25176.88,402830.05
LOC-00233,Houston (Flood/Wind),29.02487,-94.13371,Wood,157328.44,7866.42,188794.13
LOC-00234,Miami (Hurricane),24.63598,-80.13165,Wood,915339.27,45766.96,732271.41
LOC-00235,Miami (Hurricane),26.16469,-79.72588,Wood,122272.88,2445.46,122272.88
LOC-00236,Houston (Flood/Wind),28.42917,-95.30977,Wood,53592.02,2679.6,53592.02
LOC-00237,Los Angeles (Quake),35.05579,-118.20618,Wood,291218.57,29121.86,291218.57
LOC-00238,Los Angeles (Quake),33.93353,-119.08738,Concrete,414143.34,20707.17,331314.67
LOC-00239,Houston (Flood/Wind),28.57249,-95.72282,Wood,276006.9,13800.35,220805.52
LOC-00240,Los Angeles (Quake),34.04126,-118.27373,Wood,607900.38,30395.02,729480.46
LOC-00241,Houston (Flood/Wind),28.96086,-95.01825,Wood,55201.34,1104.03,55201.34
LOC-00242,Miami (Hurricane),25.79059,-79.61119,Concrete,169573.73,16957.37,169573.73
LOC-00243,Houston (Flood/Wind),29.54696,-93.87907,Concrete,152718.4,3054.37,152718.4
LOC-00244,Los Angeles (Quake),33.55908,-119.16742,Wood,153206.95,3064.14,153206.95
LOC-00245,Houston (Flood/Wind),29.02739,-96.11309,Concrete,438290.07,21914.5,438290.07
LOC-00246,Houston (Flood/Wind),28.7325,-95.80233,Wood,1011634.71,101163.47,1011634.71
LOC-00247,Los Angeles (Quake),34.70196,-117.33271,Wood,260435.24,26043.52,312522.29
LOC-00248,Los Angeles (Quake),33.84302,-117.77934,Wood,1053530.36,105353.04,1264236.43
LOC-00249,Miami (Hurricane),26.50989,-80.58682,Wood,237435.93,4748.72,237435.93
LOC-00250,Houston (Flood/Wind),29.32524,-94.17323,Concrete,228998.43,11449.92,228998.43
LOC-00251,Los Angeles (Quake),35.45406,-119.27919,Wood,68056.86,3402.84,68056.86
LOC-00252,Miami (Hurricane),24.47085,-79.95864,Masonry,129225.99,6461.3,129225.99
LOC-00253,Miami (Hurricane),26.02184,-80.32518,Wood,483206.77,48320.68,483206.77
LOC-00254,Houston (Flood/Wind),30.26907,-96.87922,Steel,203673.35,20367.33,244408.02
LOC-00255,Houston (Flood/Wind),29.15606,-95.44562,Concrete,593063.28,59306.33,593063.28
LOC-00256,Miami (Hurricane),26.7439,-81.2695,Wood,101558.06,10155.81,101558.06
LOC-00257,Houston (Flood/Wind),29.14951,-94.17527,Wood,941470.68,47073.53,941470.68
LOC-00258,Miami (Hurricane),25.91243,-79.39496,Wood,125895.18,6294.76,125895.18
LOC-00259,Houston (Flood/Wind),30.04158,-96.29542,Wood,423321.74,21166.09,423321.74
LOC-00260,Los Angeles (Quake),36.6502,-119.01592,Masonry,678635.96,33931.8,814363.16
LOC-00261,Miami (Hurricane),25.79449,-79.52822,Wood,337713.93,6754.28,270171.14
LOC-00262,Houston (Flood/Wind),28.8521,-97.53545,Concrete,710882.35,35544.12,710882.35
LOC-00263,Miami (Hurricane),25.725,-78.55741,Concrete,565908.34,11318.17,565908.34
LOC-00264,Miami (Hurricane),25.47355,-80.39075,Wood,1338882.11,66944.11,1338882.11
LOC-00265,Houston (Flood/Wind),30.8852,-96.16919,Wood,1513433.02,75671.65,1816119.63
LOC-00266,Miami (Hurricane),26.00185,-79.54165,Concrete,478260.34,47826.03,478260.34
LOC-00267,Miami (Hurricane),26.9442,-80.58836,Wood,113682.1,11368.21,136418.52
LOC-00268,Los Angeles (Quake),34.34496,-117.84932,Wood,660154.16,66015.42,660154.16
LOC-00269,Los Angeles (Quake),33.80137,-119.26432,Wood,348245.45,17412.27,348245.45
LOC-00270,Houston (Flood/Wind),28.35989,-96.35688,Wood,1186771.48,59338.57,1186771.48
LOC-00271,Los Angeles (Quake),34.42719,-117.8605,Concrete,613536.1,61353.61,613536.1
LOC-00272,Houston (Flood/Wind),30.5582,-94.64742,Masonry,184825.4,18482.54,221790.47
LOC-00273,Los Angeles (Quake),34.32182,-117.12459,Wood,1441352.28,28827.05,1441352.28
LOC-00274,Los Angeles (Quake),33.15111,-118.71648,Wood,177757.2,3555.14,177757.2
LOC-00275,Miami (Hurricane),25.3103,-80.04416,Wood,1725997.32,86299.87,1725997.32
LOC-00276,Los Angeles (Quake),36.31614,-118.99345,Wood,614061.33,12281.23,614061.33
LOC-00277,Los Angeles (Quake),35.33332,-117.2257,Masonry,466621.02,46662.1,559945.23
LOC-00278,Los Angeles (Quake),33.45969,-119.10389,Concrete,50000.0,1000.0,50000.0
LOC-00279,Houston (Flood/Wind),30.5335,-94.48758,Wood,423237.88,42323.79,423237.88
LOC-00280,Houston (Flood/Wind),28.6787,-94.22239,Wood,197951.26,3959.03,197951.26
LOC-00281,Miami (Hurricane),25.37062,-81.08749,Wood,158296.18,3165.92,158296.18
LOC-00282,Miami (Hurricane),26.37885,-80.52094,Wood,455316.86,9106.34,455316.86
LOC-00283,Miami (Hurricane),26.31678,-80.27407,Wood,164924.49,16492.45,164924.49
LOC-00284,Houston (Flood/Wind),29.90224,-93.70854,Wood,169889.54,8494.48,169889.54
LOC-00285,Miami (Hurricane),26.37456,-79.21025,Masonry,101075.67,10107.57,101075.67
LOC-00286,Los Angeles (Quake),32.98125,-119.25204,Wood,106635.29,5331.76,85308.23
LOC-00287,Miami (Hurricane),25.18744,-80.57929,Steel,305304.46,30530.45,244243.57
